[Running] python -u "/Users/user/Desktop/cs105/image-compression-project/Lydia_testing.py"

--- Processing Category: ARCHITECTURE ---

--- Processing Category: LANDSCAPES ---

--- Processing Category: PORTRAITS ---

--- Processing Category: STILL_LIFE ---

--- Processing Category: URBAN ---
[ WARN:0@854.992] global loadsave.cpp:275 findDecoder imread_('compressed/urban_mod/urb14_K4.jpg'): can't open/read file: check file path/integrity
  - Missing compressed file for urb14 at K=4. Skipping.


#####################################################
#### DETAILED ERROR MATRIX SUMMARY BY CATEGORY ####
#####################################################


--- DETAILED MATRIX: ARCHITECTURE (K=[4, 8, 16]) ---
| Image_ID   |   K_Value |       MSE |   SSIM |
| arc17      |        16 |  640.105  | 0.8147 |
| arc18      |         4 |  188.461  | 0.8383 |
| arc18      |         8 |   66.104  | 0.875  |
| arc18      |        16 |   78.4862 | 0.8613 |
| arc19      |         4 |  514.023  | 0.759  |
| arc19      |         8 |  166.888  | 0.8445 |
| arc19      |        16 | 1373.88   | 0.8184 |
| arc20      |         4 |  435.155  | 0.7706 |
| arc20      |         8 |  159.951  | 0.8292 |
| arc20      |        16 |  176.175  | 0.812  |
| arc21      |         4 |  285.76   | 0.8645 |
| arc21      |         8 |   66.5744 | 0.9146 |
| arc21      |        16 |  140.904  | 0.9042 |
| arc22      |         4 |  835.539  | 0.7049 |
| arc22      |         8 |  224.847  | 0.7108 |
| arc22      |        16 |  213.342  | 0.8105 |
| arc23      |         4 |  681.561  | 0.7564 |
| arc23      |         8 |  275.826  | 0.8132 |
| arc23      |        16 |  606.658  | 0.7712 |


--- DETAILED MATRIX: LANDSCAPES (K=[4, 8, 16]) ---
| Image_ID   |   K_Value |     MSE |   SSIM |
|:-----------|----------:|--------:|-------:|
| land1      |         4 | 563.374 | 0.7388 |
| land1      |         8 | 208.672 | 0.7925 |
| land1      |        16 | 209.146 | 0.8374 |
| land2      |         4 | 408.682 | 0.793  |
| land2      |         8 | 199.073 | 0.8443 |
| land2      |        16 | 204.341 | 0.8741 |
| land3      |         4 | 479.697 | 0.7219 |
| land3      |         8 | 205.674 | 0.7386 |
| land3      |        16 | 330.625 | 0.7869 |
| land4      |         4 | 326.348 | 0.7377 |
| land4      |         8 | 146.574 | 0.8264 |
| land4      |        16 | 172.26  | 0.8332 |
| land5      |         4 | 601.419 | 0.6661 |
| land5      |         8 | 237.406 | 0.6991 |
| land5      |        16 | 729.124 | 0.724  |
| land6      |         4 | 390.656 | 0.8207 |
| land6      |         8 | 170.239 | 0.8474 |
| land6      |        16 | 203.1   | 0.8841 |
| land7      |         4 | 398.558 | 0.7098 |
| land7      |         8 | 176.113 | 0.7755 |
| land7      |        16 | 360.755 | 0.7684 |
| land8      |         4 | 270.096 | 0.8435 |
| land8      |         8 | 126.477 | 0.86   |
| land8      |        16 | 233.395 | 0.8732 |
| land9      |         4 | 659.4   | 0.7312 |
| land9      |         8 | 198.16  | 0.7947 |
| land9      |        16 | 412.424 | 0.7669 |
| land10     |         4 | 596.23  | 0.8181 |
| land10     |         8 | 239.588 | 0.8585 |
| land10     |        16 | 325.061 | 0.8531 |
| land11     |         4 | 624.978 | 0.7324 |
| land11     |         8 | 264.328 | 0.8175 |
| land11     |        16 | 331.953 | 0.8393 |
| land12     |         4 | 235.938 | 0.8101 |
| land12     |         8 | 108.436 | 0.8862 |
| land12     |        16 | 161.527 | 0.8972 |
| land13     |         4 | 313.572 | 0.7892 |
| land13     |         8 | 132.51  | 0.8456 |
| land13     |        16 | 146.846 | 0.8497 |
| land14     |         4 | 610.758 | 0.6185 |
| land14     |         8 | 254.812 | 0.7558 |
| land14     |        16 | 376.555 | 0.7752 |
| land15     |         4 | 604.366 | 0.6775 |
| land15     |         8 | 268.674 | 0.7614 |
| land15     |        16 | 577.159 | 0.8121 |
| land16     |         4 | 592.262 | 0.7204 |
| land16     |         8 | 191.845 | 0.7981 |
| land16     |        16 | 384.486 | 0.797  |
| land17     |         4 | 756.215 | 0.6702 |
| land17     |         8 | 336.205 | 0.8088 |
| land17     |        16 | 496.636 | 0.7939 |
| land18     |         4 | 342.925 | 0.6572 |
| land18     |         8 | 160.235 | 0.7816 |
| land18     |        16 | 198.111 | 0.7519 |
| land19     |         4 | 626.126 | 0.6752 |
| land19     |         8 | 273.054 | 0.7933 |
| land19     |        16 | 262.837 | 0.7796 |
| land20     |         4 | 913.97  | 0.6596 |
| land20     |         8 | 466.718 | 0.7506 |
| land20     |        16 | 596.195 | 0.7348 |
| land21     |         4 | 604.907 | 0.61   |
| land21     |         8 | 241.031 | 0.6911 |
| land21     |        16 | 274.543 | 0.7393 |
| land22     |         4 | 312.867 | 0.7611 |
| land22     |         8 | 130.045 | 0.8111 |
| land22     |        16 | 220.877 | 0.8736 |
| land23     |         4 | 265.699 | 0.7655 |
| land23     |         8 | 118.121 | 0.8523 |
| land23     |        16 | 295.373 | 0.85   |


--- DETAILED MATRIX: PORTRAITS (K=[4, 8, 16]) ---
| Image_ID   |   K_Value |      MSE |   SSIM |
|:-----------|----------:|---------:|-------:|
| port1      |         4 | 162.03   | 0.5846 |
| port1      |         8 |  76.1883 | 0.7968 |
| port1      |        16 | 250.05   | 0.8227 |
| port2      |         4 | 463.045  | 0.8098 |
| port2      |         8 | 186.606  | 0.8449 |
| port2      |        16 | 354.596  | 0.8617 |
| port3      |         4 | 272.476  | 0.5892 |
| port3      |         8 | 109.725  | 0.783  |
| port3      |        16 | 140.083  | 0.7976 |
| port4      |         4 | 399.537  | 0.722  |
| port4      |         8 | 148.875  | 0.8008 |
| port4      |        16 | 322.051  | 0.8444 |
| port5      |         4 | 699.212  | 0.7379 |
| port5      |         8 | 352.28   | 0.748  |
| port5      |        16 | 376.903  | 0.7745 |
| port6      |         4 | 177.19   | 0.8963 |
| port6      |         8 |  80.4583 | 0.9029 |
| port6      |        16 | 104.349  | 0.91   |
| port7      |         4 | 480.368  | 0.7981 |
| port7      |         8 | 249.261  | 0.8246 |
| port7      |        16 | 395.718  | 0.839  |
| port8      |         4 | 114.147  | 0.7789 |
| port8      |         8 |  45.3917 | 0.8429 |
| port8      |        16 | 529.952  | 0.893  |
| port9      |         4 | 553.168  | 0.8061 |
| port9      |         8 | 268.342  | 0.8147 |
| port9      |        16 | 316.976  | 0.8381 |
| port10     |         4 | 404.741  | 0.8282 |
| port10     |         8 | 127.783  | 0.8293 |
| port10     |        16 | 247.704  | 0.8128 |
| port11     |         4 | 301.048  | 0.8279 |
| port11     |         8 | 129.274  | 0.8494 |
| port11     |        16 | 206.823  | 0.8757 |
| port12     |         4 | 236.581  | 0.6552 |
| port12     |         8 | 115.061  | 0.7672 |
| port12     |        16 | 193.313  | 0.7688 |
| port13     |         4 | 410.717  | 0.5078 |
| port13     |         8 | 165.002  | 0.7032 |
| port13     |        16 | 303.724  | 0.6907 |
| port14     |         4 | 425.006  | 0.6904 |
| port14     |         8 | 170.237  | 0.7515 |
| port14     |        16 | 279.537  | 0.7906 |
| port15     |         4 | 551.931  | 0.7355 |
| port15     |         8 |  96.644  | 0.7968 |
| port15     |        16 | 108.841  | 0.8298 |
| port16     |         4 | 348.358  | 0.7629 |
| port16     |         8 | 147.57   | 0.8046 |
| port16     |        16 | 133.327  | 0.8288 |
| port17     |         4 | 537.988  | 0.4057 |
| port17     |         8 | 212.649  | 0.7689 |
| port17     |        16 | 636.029  | 0.6824 |
| port18     |         4 | 222.776  | 0.8716 |
| port18     |         8 |  94.6057 | 0.8929 |
| port18     |        16 | 121.346  | 0.9106 |
| port19     |         4 | 409.575  | 0.8418 |
| port19     |         8 | 203.488  | 0.8666 |
| port19     |        16 | 265.726  | 0.8481 |
| port20     |         4 | 692.641  | 0.7696 |
| port20     |         8 | 338.066  | 0.8122 |
| port20     |        16 | 464.246  | 0.8029 |
| port21     |         4 | 500.266  | 0.5975 |
| port21     |         8 | 195.542  | 0.7488 |
| port21     |        16 | 164.459  | 0.8573 |
| port22     |         4 | 264.291  | 0.7954 |
| port22     |         8 |  86.2904 | 0.8052 |
| port22     |        16 | 108.588  | 0.8115 |


--- DETAILED MATRIX: STILL_LIFE (K=[4, 8, 16]) ---
| Image_ID   |   K_Value |       MSE |   SSIM |
|:-----------|----------:|----------:|-------:|
| life1      |         4 |  192.396  | 0.9378 |
| life1      |         8 |  155.702  | 0.9269 |
| life1      |        16 | 2137.39   | 0.9329 |
| life2      |         4 |  443.094  | 0.4741 |
| life2      |         8 |  184.696  | 0.5932 |
| life2      |        16 |  356.31   | 0.8222 |
| life3      |         4 |  420.289  | 0.6762 |
| life3      |         8 |  181.974  | 0.7339 |
| life3      |        16 |  208.224  | 0.8022 |
| life4      |         4 |  246.379  | 0.777  |
| life4      |         8 |  107.22   | 0.7943 |
| life4      |        16 |  158.841  | 0.8564 |
| life5      |         4 |  562.128  | 0.8454 |
| life5      |         8 |  178.668  | 0.8705 |
| life5      |        16 |  829.808  | 0.8594 |
| life6      |         4 |  172.639  | 0.7139 |
| life6      |         8 |  147.751  | 0.7265 |
| life6      |        16 |  116.581  | 0.9384 |
| life7      |         4 |  495.001  | 0.7035 |
| life7      |         8 |  191.675  | 0.7398 |
| life7      |        16 |  347.225  | 0.8035 |
| life8      |         4 |  416.485  | 0.8887 |
| life8      |         8 |  135.397  | 0.902  |
| life8      |        16 |  160.046  | 0.9146 |
| life9      |         4 |  218.733  | 0.5153 |
| life9      |         8 |   69.5917 | 0.7782 |
| life9      |        16 |  356.313  | 0.8725 |
| life10     |         4 |  185.325  | 0.883  |
| life10     |         8 |   60.0123 | 0.9156 |
| life10     |        16 |   74.7789 | 0.936  |
| life11     |         4 |  129.214  | 0.8821 |
| life11     |         8 |   67.3523 | 0.9147 |
| life11     |        16 |  121.07   | 0.9312 |
| life12     |         4 |  473.779  | 0.6192 |
| life12     |         8 |  180.099  | 0.7434 |
| life12     |        16 |  338.358  | 0.8567 |
| life13     |         4 |  253.476  | 0.8816 |
| life13     |         8 |   91.962  | 0.8878 |
| life13     |        16 |  351.161  | 0.8676 |
| life14     |         4 |  289.172  | 0.8857 |
| life14     |         8 |  102.995  | 0.8829 |
| life14     |        16 |  405.145  | 0.904  |
| life15     |         4 |  328.936  | 0.9204 |
| life15     |         8 |  173.748  | 0.8584 |
| life15     |        16 |  139.294  | 0.8969 |
| life16     |         4 |  803.654  | 0.8566 |
| life16     |         8 |  389.565  | 0.852  |
| life16     |        16 |  563.021  | 0.8522 |
| life17     |         4 |  578.604  | 0.6987 |
| life17     |         8 |  231.17   | 0.7649 |
| life17     |        16 |  347.274  | 0.7644 |
| life18     |         4 |  165.917  | 0.9433 |
| life18     |         8 |  106.191  | 0.9444 |
| life18     |        16 |  268.995  | 0.9271 |
| life19     |         4 |  184.204  | 0.8964 |
| life19     |         8 |   88.2407 | 0.9226 |
| life19     |        16 |  108.011  | 0.9323 |
| life20     |         4 |  305.191  | 0.8233 |
| life20     |         8 |  138.515  | 0.8428 |
| life20     |        16 |  770.414  | 0.8437 |
| life21     |         4 |  588.43   | 0.8151 |
| life21     |         8 |  201.329  | 0.829  |
| life21     |        16 |  689.129  | 0.8449 |
| life22     |         4 |  534.295  | 0.9798 |
| life22     |         8 |  123.583  | 0.9675 |
| life22     |        16 |  175.954  | 0.9824 |
| life23     |         4 |  388.718  | 0.8855 |
| life23     |         8 |  180.671  | 0.8498 |
| life23     |        16 |  402.23   | 0.9023 |
| life24     |         4 |  399.418  | 0.947  |
| life24     |         8 |  289.253  | 0.9548 |
| life24     |        16 |  281.328  | 0.9453 |
| life25     |         4 |  292.757  | 0.8482 |
| life25     |         8 |  226.988  | 0.8766 |
| life25     |        16 |  110.058  | 0.9187 |


--- DETAILED MATRIX: URBAN (K=[4, 8, 16]) ---
| Image_ID   |   K_Value |       MSE |   SSIM |
|:-----------|----------:|----------:|-------:|
| urb1       |         4 |  641.443  | 0.7035 |
| urb1       |         8 |  257.919  | 0.7663 |
| urb1       |        16 |  355.878  | 0.8144 |
| urb2       |         4 |  272.218  | 0.6767 |
| urb2       |         8 |  107.329  | 0.8322 |
| urb2       |        16 |   84.2232 | 0.8933 |
| urb3       |         4 |  512.126  | 0.6434 |
| urb3       |         8 |  256.604  | 0.7524 |
| urb3       |        16 |  442.223  | 0.8017 |
| urb4       |         4 |  523.561  | 0.8107 |
| urb4       |         8 |  216.867  | 0.8381 |
| urb4       |        16 |  220.763  | 0.8711 |
| urb5       |         4 |  500.777  | 0.8097 |
| urb5       |         8 |  254.865  | 0.8586 |
| urb5       |        16 |  251.847  | 0.8716 |
| urb6       |         4 |  587.995  | 0.607  |
| urb6       |         8 |  242.005  | 0.7342 |
| urb6       |        16 |  578.902  | 0.7926 |
| urb7       |         4 |  728.674  | 0.7338 |
| urb7       |         8 |  300.158  | 0.8106 |
| urb7       |        16 | 1202.98   | 0.7977 |
| urb8       |         4 |  539.852  | 0.7562 |
| urb8       |         8 |  239.207  | 0.7954 |
| urb8       |        16 |  254.006  | 0.8192 |
| urb9       |         4 |  408.803  | 0.6318 |
| urb9       |         8 |  194.119  | 0.7351 |
| urb9       |        16 |  916.766  | 0.7876 |
| urb10      |         4 |  387.821  | 0.6127 |
| urb10      |         8 |  150.403  | 0.7233 |
| urb10      |        16 |  240.118  | 0.7944 |
| urb11      |         4 |  367.298  | 0.7271 |
| urb11      |         8 |  141.69   | 0.8165 |
| urb11      |        16 |  142.497  | 0.8591 |
| urb12      |         4 |  413.471  | 0.7642 |
| urb12      |         8 |  153.79   | 0.8418 |
| urb12      |        16 |  447.179  | 0.8419 |
| urb13      |         4 |  469.353  | 0.7803 |
| urb13      |         8 |  205.75   | 0.8311 |
| urb13      |        16 |  298.921  | 0.8312 |
| urb14      |         8 |  248.751  | 0.7396 |
| urb14      |        16 |  435.447  | 0.8249 |
| urb15      |         4 |  304.324  | 0.7862 |
| urb15      |         8 |  137.339  | 0.8515 |
| urb15      |        16 |  100.978  | 0.8909 |
| urb16      |         4 |  528.432  | 0.806  |
| urb16      |         8 |  225.934  | 0.8517 |
| urb16      |        16 |  618.905  | 0.8646 |
| urb17      |         4 |  342.404  | 0.6102 |
| urb17      |         8 |  177.751  | 0.7841 |
| urb17      |        16 |  164      | 0.8474 |
| urb18      |         4 |  300.209  | 0.7064 |
| urb18      |         8 |   81.2112 | 0.8143 |
| urb18      |        16 |  126.884  | 0.8513 |
| urb19      |         4 | 1063.81   | 0.7234 |
| urb19      |         8 |  491.143  | 0.7757 |
| urb19      |        16 |  703.31   | 0.809  |
| urb20      |         4 |  314.481  | 0.7711 |
| urb20      |         8 |  134.533  | 0.8133 |
| urb20      |        16 |  232.048  | 0.8701 |
| urb21      |         4 |  530.586  | 0.7686 |
| urb21      |         8 |  243.707  | 0.8359 |
| urb21      |        16 |  213.324  | 0.8359 |
| urb22      |         4 |  515.667  | 0.7569 |
| urb22      |         8 |  252.726  | 0.8169 |
| urb22      |        16 |  286.823  | 0.8464 |
| urb23      |         4 |  396.616  | 0.7466 |
| urb23      |         8 |  178.52   | 0.8728 |
| urb23      |        16 |  176.683  | 0.9011 |

=====================================================
### CATEGORY OVERALL PERFORMANCE SUMMARY ###
=====================================================
| Category     |   Average MSE |   Average SSIM |
|:-------------|--------------:|---------------:|
| architecture |       356.062 |         0.8399 |
| landscapes   |       345.744 |         0.7799 |
| portraits    |       276.527 |         0.7857 |
| still_life   |       305.194 |         0.8464 |
| urban        |       353.484 |         0.7903 |
=====================================================

[Done] exited with code=0 in 1049.199 seconds

